Year,Austria,Belgium,Denmark,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom,
1960,6650133915.00,11810619368.00,6361166313.00,5279011362.00,62225478001.00,84310950194.00,4335191696.00,252169712.00,1998550222.00,41915814948.00,709941874.00,13263458995.00,5197398721.00,3339150158.00,12433394725.00,15953203853.00,10412232621.00,73233967692.00,
1961,7375454614.00,12561701694.00,7058360972.00,5983900493.00,67461644222.00,96205728658.00,4961399303.00,257703244.60,2151772980.00,46542216715.00,710163719.40,14578381188.00,5669689210.00,3573719085.00,14248303793.00,17354781171.00,11713348834.00,77741965703.00,
1962,7823686765.00,13436827167.00,7953274452.00,6407225035.00,75607529810.00,105509000000.00,5213043168.00,289200704.40,2329372972.00,52293346805.00,747846862.20,15824293506.00,6107076929.00,3835883663.00,16621504913.00,18821353529.00,12989649694.00,81247564157.00,
1963,8447136820.00,14445805381.00,8466044672.00,6958296429.00,84759195106.00,111823000000.00,5895281432.00,345175036.10,2505073358.00,59897871868.00,797902154.20,17168477020.00,6553269536.00,4084251593.00,19645746986.00,20371666154.00,14283872299.00,86561961812.00,
1964,9249879079.00,16168044450.00,9677400985.00,7848288358.00,94007851047.00,122880000000.00,6669669850.00,440797869.30,2851091646.00,65569646710.00,910877686.30,20202316519.00,7206522122.00,4429202657.00,21982577365.00,22718426804.00,15833133858.00,94407558351.00,
1965,10081145818.00,17597783297.00,10870670470.00,8679620317.00,101537000000.00,134283000000.00,7689148374.00,531569563.90,3035655794.00,70554398250.00,929477284.80,22688478855.00,8111945661.00,4901711248.00,25497831759.00,25000191834.00,16780226225.00,101825000000.00,
1966,10982543233.00,18894891312.00,11931739859.00,9305312888.00,110046000000.00,142781000000.00,8591522487.00,638349755.20,3198820904.00,76446251295.00,976717015.50,24705121842.00,8753940267.00,5370108031.00,29580564480.00,27194141951.00,18019402374.00,108573000000.00,
1967,11680319625.00,20252508995.00,13059064375.00,9467428626.00,118973000000.00,144571000000.00,9275600800.00,630567115.80,3445739915.00,84207912986.00,983052314.90,27103938851.00,9577383653.00,6002607030.00,32594186212.00,29517675437.00,19397044714.00,113117000000.00,
1968,12549016579.00,21654856965.00,13505573867.00,8915770473.00,129785000000.00,155956000000.00,10090674767.00,481532847.60,3378701147.00,91275077145.00,1075561623.00,30053405731.00,10227087165.00,6644693214.00,32417481065.00,31323283317.00,20712102794.00,107760000000.00,
1969,13701141219.00,24019653475.00,15414902267.00,10176617905.00,141903000000.00,177085000000.00,11615655895.00,420945147.60,3902721632.00,100764000000.00,1245432991.00,34035946909.00,11136187440.00,7287555035.00,37117200724.00,34016617942.00,22442043274.00,116465000000.00,
1970,15373005557.00,26706196047.00,17075457600.00,11357516988.00,148456000000.00,215838000000.00,13139863636.00,526704545.50,4395995086.00,113395000000.00,1457768455.00,38164716625.00,12814123115.00,8108235704.00,40992995008.00,38092452061.00,24998066773.00,130672000000.00,
1971,17858486067.00,29821661870.00,19085731252.00,12527405513.00,165967000000.00,249985000000.00,14591750000.00,670251136.40,5098250287.00,124672000000.00,1518773421.00,44579122807.00,14583114840.00,9201604240.00,46619420359.00,41566412923.00,30040171751.00,148114000000.00,
